country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,1290000,1690000,1580000,1680000,1780000,2030000,2290000,2510000,2740000,3040000,3380000,3880000,4400000,4520000,5420000,5470000,5890000,6250000,7010000,7760000,7970000,8080000,8160000,8170000,8550000,9160000,9070000,9110000,9080000,8670000,8430000,8060000,7990000,8220000,8110000,8480000,8780000,9730000,10100000,10600000,11000000,11500000,12900000,14000000,14900000,14800000,15800000,16800000,17600000,17700000,19500000,18900000
Argentina,22100000,22800000,23300000,23800000,24700000,22100000,23600000,23600000,23700000,23900000,22400000,23300000,24500000,24500000,26000000,24300000,22400000,21500000,22000000,20700000,18700000,21600000,23000000,23000000,20900000,19700000,20200000,21300000,21100000,20300000,20300000,21100000,21100000,21600000,20100000,20300000,19600000,18100000,18600000,19500000,20800000,21800000,24200000,24900000,24300000,28100000,28300000,29600000,31900000,31300000,32200000,31900000
Australia,15100000,18000000,19700000,21500000,22100000,24400000,25700000,26100000,27900000,29500000,29100000,29800000,31200000,31200000,31800000,30400000,29400000,29300000,29000000,30500000,28900000,29600000,30200000,31600000,32700000,33200000,32300000,32400000,34100000,35300000,36500000,37000000,37700000,37600000,38800000,38600000,38800000,38700000,38600000,39700000,39500000,42900000,42500000,43200000,43500000,43700000,46300000,47900000,48200000,48100000,47900000,47800000
Austria,5560000,6120000,6510000,7540000,8280000,9100000,10200000,11000000,11900000,10600000,10700000,11700000,11100000,12000000,12500000,12200000,11000000,10500000,10100000,9820000,9840000,10400000,10700000,10600000,10400000,10900000,11700000,11400000,11500000,11300000,11300000,11700000,11900000,12400000,12200000,11900000,12900000,13200000,14200000,13900000,14000000,14200000,13400000,13400000,12800000,13400000,12700000,12500000,12700000,12500000,12500000,12700000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,8250000,8650000,8140000,8340000,8140000,8540000,8240000,8030000,8000000,7270000,6580000,5940000,5650000,5950000,5730000,6330000,4000000,3670000,4270000,4480000,5380000,4810000,4520000,3590000,3310000,3220000,3990000,4170000,4540000,4450000,4530000,4610000
Bangladesh,,,,,,,676000,835000,947000,982000,1150000,1240000,1220000,1300000,1440000,1630000,1680000,1650000,1480000,1490000,1660000,1790000,1760000,1770000,1920000,1860000,1720000,1920000,2160000,2250000,2930000,2990000,3430000,3790000,3370000,3320000,3960000,3960000,4110000,3860000,3870000,3920000,3710000,3770000,3520000,3920000,5080000,5440000,5290000,5750000,6190000,6580000
Belarus,,,,,,,,,,,,,,,,,,,,,25400000,30000000,29700000,28700000,26900000,24900000,24100000,20500000,14500000,11800000,10700000,10500000,9160000,8650000,7930000,7820000,7640000,7960000,8130000,8120000,7520000,8800000,8020000,7910000,9270000,7480000,8600000,10400000,7140000,8130000,7710000,7540000
Belgium,15900000,16300000,17900000,20900000,24100000,26200000,26900000,29100000,30600000,26900000,25400000,26500000,26100000,27800000,27600000,25600000,23400000,22200000,20100000,19400000,19700000,22300000,22400000,23100000,22700000,23900000,25700000,26300000,25900000,28000000,27700000,30200000,31000000,31300000,30100000,30900000,31000000,31700000,33700000,33700000,33600000,33800000,34600000,36000000,31500000,32700000,30500000,29600000,30100000,29700000,31000000,31800000
Brazil,14800000,16200000,16700000,20000000,22000000,25000000,27600000,31800000,39100000,42000000,43400000,46900000,48400000,53400000,56600000,55000000,52300000,53800000,52200000,53900000,55800000,62900000,64700000,66200000,67300000,65500000,66500000,71100000,73900000,78800000,82200000,87200000,92500000,95800000,96800000,94400000,96100000,95300000,92300000,96000000,99000000,100000000,107000000,116000000,117000000,127000000,132000000,134000000,144000000,151000000,147000000,139000000
Bulgaria,3700000,4230000,5320000,6300000,7740000,8990000,9890000,10300000,10800000,11300000,12000000,12400000,12900000,13300000,13700000,14000000,12500000,12100000,11600000,11200000,10400000,10900000,10500000,11100000,10800000,6790000,4360000,3930000,4540000,4460000,4870000,4290000,4250000,4430000,4120000,4110000,4220000,4220000,4420000,4300000,4830000,4970000,4840000,4770000,4290000,3890000,3780000,3900000,3620000,3860000,4380000,4520000
Canada,53800000,56700000,60600000,64500000,67100000,71600000,73500000,77400000,81700000,83000000,81100000,85400000,86300000,88000000,91500000,90100000,84200000,75400000,70500000,71200000,71200000,71400000,74100000,78000000,81000000,79800000,75300000,76800000,77100000,78400000,81100000,83500000,86700000,88600000,90000000,90100000,91300000,93800000,97400000,101000000,99600000,98700000,102000000,101000000,94400000,101000000,104000000,102000000,104000000,103000000,99200000,101000000
Chile,3490000,3820000,3980000,4190000,4450000,4700000,5210000,5520000,5250000,5030000,4380000,4650000,4760000,5210000,5260000,5310000,5490000,4850000,4710000,4710000,4590000,4910000,5130000,5650000,6250000,6590000,7360000,7970000,8680000,9330000,10300000,10900000,11700000,12000000,12100000,11800000,11200000,11700000,11300000,12000000,12500000,13900000,17900000,18600000,18200000,16000000,17600000,17500000,16800000,17400000,17600000,17800000
China,11000000,14100000,13900000,15200000,20400000,28200000,38400000,44200000,53800000,61900000,68300000,78000000,82400000,91300000,91100000,86700000,82200000,81300000,83000000,86000000,89700000,95400000,101000000,109000000,114000000,113000000,122000000,132000000,146000000,148000000,160000000,176000000,192000000,197000000,209000000,224000000,229000000,248000000,277000000,323000000,329000000,353000000,371000000,378000000,393000000,448000000,465000000,487000000,508000000,528000000,562000000,579000000
Colombia,3840000,4400000,4430000,4930000,4740000,5340000,5530000,6300000,6020000,6680000,6720000,7090000,7100000,7220000,7670000,7290000,7470000,7660000,7920000,7880000,8180000,8090000,8510000,8960000,9190000,9330000,9570000,10500000,11200000,11600000,12200000,12600000,12800000,12500000,11100000,10900000,10200000,10000000,10400000,10400000,10900000,10900000,10700000,11700000,10700000,11900000,12800000,13900000,13900000,14800000,15600000,15900000
Czech Republic,4000000,4420000,4920000,5420000,5820000,6980000,7690000,8420000,9470000,9720000,10700000,11300000,11900000,12300000,12500000,11600000,11400000,10400000,10200000,10800000,10600000,10200000,10300000,9860000,9380000,8450000,7100000,6780000,6870000,7060000,8010000,8370000,7970000,8260000,8200000,7940000,8370000,8140000,8700000,9550000,9940000,9820000,9740000,9910000,9670000,9190000,9030000,8950000,8540000,9060000,8930000,8400000
Denmark,10400000,11900000,12600000,13600000,16400000,18300000,18000000,19100000,17600000,16000000,15700000,16700000,16700000,16700000,15900000,13600000,12800000,11000000,10400000,10300000,10600000,10500000,9650000,9580000,9230000,9030000,9160000,9070000,9520000,10100000,10600000,11500000,11100000,10700000,10600000,10300000,9920000,9580000,9230000,9060000,9160000,9360000,9420000,9280000,8260000,8360000,8260000,7750000,7720000,7830000,7990000,8040000
