,country,year,gdp,income,electricity_consumption
49,Albania,1965,6330000000.0,2990.0,532.0
50,Albania,1966,6750000000.0,3100.0,532.0
51,Albania,1967,7200000000.0,3220.0,532.0
52,Albania,1968,7660000000.0,3330.0,532.0
53,Albania,1969,8120000000.0,3440.0,532.0
54,Albania,1970,8640000000.0,3570.0,532.0
55,Albania,1971,9210000000.0,3710.0,532.0
56,Albania,1972,9800000000.0,3860.0,568.0
57,Albania,1973,10500000000.0,4050.0,593.0
58,Albania,1974,10800000000.0,4070.0,591.0
59,Albania,1975,11100000000.0,4080.0,739.0
60,Albania,1976,11400000000.0,4100.0,909.0
61,Albania,1977,11700000000.0,4120.0,1070.0
62,Albania,1978,12000000000.0,4140.0,1100.0
63,Albania,1979,12300000000.0,4160.0,1070.0
64,Albania,1980,12700000000.0,4190.0,1140.0
65,Albania,1981,13000000000.0,4210.0,1120.0
66,Albania,1982,13300000000.0,4230.0,1100.0
67,Albania,1983,13600000000.0,4260.0,1070.0
68,Albania,1984,14000000000.0,4280.0,1020.0
69,Albania,1985,14400000000.0,4300.0,796.0
70,Albania,1986,14900000000.0,4330.0,1420.0
71,Albania,1987,15400000000.0,4360.0,1160.0
72,Albania,1988,15900000000.0,4390.0,1010.0
73,Albania,1989,16300000000.0,4420.0,1020.0
74,Albania,1990,16600000000.0,4460.0,552.0
75,Albania,1991,11800000000.0,3230.0,418.0
76,Albania,1992,10800000000.0,3020.0,454.0
77,Albania,1993,11600000000.0,3320.0,536.0
78,Albania,1994,12200000000.0,3620.0,596.0
79,Albania,1995,13600000000.0,4130.0,664.0
80,Albania,1996,14700000000.0,4530.0,904.0
81,Albania,1997,13000000000.0,4060.0,695.0
82,Albania,1998,14600000000.0,4450.0,735.0
83,Albania,1999,15900000000.0,5060.0,1410.0
84,Albania,2000,17000000000.0,5440.0,1450.0
85,Albania,2001,18200000000.0,5950.0,1350.0
86,Albania,2002,18800000000.0,6240.0,1580.0
87,Albania,2003,19900000000.0,6610.0,1470.0
88,Albania,2004,21100000000.0,7000.0,1800.0
89,Albania,2005,22300000000.0,7430.0,1720.0
90,Albania,2006,23500000000.0,7910.0,1220.0
91,Albania,2007,24900000000.0,8450.0,1210.0
92,Albania,2008,26700000000.0,9160.0,1620.0
93,Albania,2009,27600000000.0,9530.0,1840.0
94,Albania,2010,28500000000.0,9930.0,1940.0
95,Albania,2011,29300000000.0,10200.0,2210.0
96,Albania,2012,30100000000.0,10400.0,2120.0
97,Albania,2013,30700000000.0,10500.0,2530.0
98,Algeria,1965,78700000000.0,6850.0,134.0
99,Algeria,1966,74500000000.0,6210.0,134.0
100,Algeria,1967,81000000000.0,6700.0,134.0
101,Algeria,1968,90400000000.0,7200.0,134.0
102,Algeria,1969,99200000000.0,7570.0,134.0
103,Algeria,1970,109000000000.0,8070.0,134.0
104,Algeria,1971,100000000000.0,7170.0,134.0
105,Algeria,1972,121000000000.0,8410.0,143.0
106,Algeria,1973,125000000000.0,8430.0,159.0
107,Algeria,1974,133000000000.0,8670.0,171.0
108,Algeria,1975,143000000000.0,8990.0,196.0
109,Algeria,1976,152000000000.0,9290.0,220.0
110,Algeria,1977,166000000000.0,9810.0,233.0
111,Algeria,1978,188000000000.0,10700.0,279.0
112,Algeria,1979,205000000000.0,11300.0,315.0
113,Algeria,1980,209000000000.0,11200.0,330.0
114,Algeria,1981,215000000000.0,11100.0,363.0
115,Algeria,1982,229000000000.0,11400.0,406.0
116,Algeria,1983,241000000000.0,11600.0,417.0
117,Algeria,1984,255000000000.0,11800.0,441.0
118,Algeria,1985,268000000000.0,12100.0,466.0
119,Algeria,1986,265000000000.0,11600.0,485.0
120,Algeria,1987,264000000000.0,11200.0,455.0
121,Algeria,1988,258000000000.0,10700.0,482.0
122,Algeria,1989,267000000000.0,10700.0,522.0
123,Algeria,1990,263000000000.0,10300.0,532.0
124,Algeria,1991,260000000000.0,9930.0,532.0
125,Algeria,1992,265000000000.0,9870.0,560.0
126,Algeria,1993,259000000000.0,9450.0,548.0
127,Algeria,1994,256000000000.0,9170.0,551.0
128,Algeria,1995,266000000000.0,9340.0,560.0
129,Algeria,1996,276000000000.0,9560.0,571.0
130,Algeria,1997,278000000000.0,9510.0,576.0
131,Algeria,1998,292000000000.0,9840.0,618.0
132,Algeria,1999,301000000000.0,10000.0,653.0
133,Algeria,2000,309000000000.0,10300.0,683.0
134,Algeria,2001,317000000000.0,10400.0,709.0
135,Algeria,2002,330000000000.0,10900.0,731.0
136,Algeria,2003,353000000000.0,11500.0,786.0
137,Algeria,2004,372000000000.0,11800.0,804.0
138,Algeria,2005,392000000000.0,12400.0,891.0
139,Algeria,2006,399000000000.0,12400.0,862.0
140,Algeria,2007,413000000000.0,12600.0,894.0
141,Algeria,2008,421000000000.0,12700.0,947.0
142,Algeria,2009,428000000000.0,12700.0,866.0
143,Algeria,2010,443000000000.0,12900.0,1020.0
144,Algeria,2011,454000000000.0,13000.0,1120.0
145,Algeria,2012,465000000000.0,13200.0,1240.0
146,Algeria,2013,479000000000.0,13300.0,1280.0
196,Angola,1965,25500000000.0,4970.0,92.0
197,Angola,1966,26900000000.0,5190.0,92.0
198,Angola,1967,28500000000.0,5410.0,92.0
199,Angola,1968,28100000000.0,5250.0,92.0
200,Angola,1969,28900000000.0,5320.0,92.0
201,Angola,1970,30800000000.0,5570.0,92.0
202,Angola,1971,32600000000.0,5790.0,92.0
203,Angola,1972,32700000000.0,5690.0,101.0
204,Angola,1973,35300000000.0,6010.0,114.0
205,Angola,1974,36400000000.0,6060.0,136.0
206,Angola,1975,34600000000.0,5620.0,139.0
207,Angola,1976,32800000000.0,5010.0,60.3
208,Angola,1977,33000000000.0,4960.0,58.3
209,Angola,1978,31300000000.0,5070.0,56.3
210,Angola,1979,31400000000.0,5080.0,58.6
211,Angola,1980,32200000000.0,5110.0,60.7
212,Angola,1981,30800000000.0,4930.0,58.6
213,Angola,1982,30800000000.0,4610.0,60.3
214,Angola,1983,32100000000.0,4340.0,63.3
215,Angola,1984,34000000000.0,4260.0,52.2
216,Angola,1985,35200000000.0,4210.0,60.6
217,Angola,1986,36300000000.0,3760.0,58.5
218,Angola,1987,38900000000.0,4130.0,56.8
219,Angola,1988,41000000000.0,4650.0,55.2
220,Angola,1989,41200000000.0,4670.0,53.6
221,Angola,1990,41000000000.0,4760.0,53.2
222,Angola,1991,41400000000.0,4650.0,54.5
223,Angola,1992,39000000000.0,4240.0,53.5
224,Angola,1993,29700000000.0,3120.0,52.0
225,Angola,1994,30100000000.0,3060.0,50.7
226,Angola,1995,34600000000.0,3410.0,49.3
227,Angola,1996,41500000000.0,3750.0,51.1
228,Angola,1997,43800000000.0,3890.0,69.3
229,Angola,1998,43800000000.0,3950.0,73.3
230,Angola,1999,45200000000.0,3900.0,71.9
231,Angola,2000,46500000000.0,3890.0,75.3
232,Angola,2001,48000000000.0,3920.0,82.6
233,Angola,2002,55000000000.0,4320.0,86.0
234,Angola,2003,56800000000.0,4300.0,95.9
235,Angola,2004,63100000000.0,4610.0,87.5
236,Angola,2005,76100000000.0,5110.0,109.0
237,Angola,2006,90200000000.0,5500.0,145.0
238,Angola,2007,111000000000.0,6040.0,133.0
239,Angola,2008,127000000000.0,6470.0,172.0
240,Angola,2009,130000000000.0,6290.0,189.0
241,Angola,2010,134000000000.0,6360.0,206.0
242,Angola,2011,139000000000.0,6350.0,207.0
243,Angola,2012,146000000000.0,6650.0,219.0
